Abastecimento de água - Brasil,,
Moradores por Município e Ano,,
Período:1991,2000,2010
"Município;""1991"";""2000"";""2010""",,
210515 Igarapé do Meio;-;9820;12526,,
210520 Igarapé Grande;14784;9541;11028,,
210530 Imperatriz;275726;229692;246360,,
210535 Itaipava do Grajaú;-;13050;14256,,
210540 Itapecuru Mirim;42787;42653;61975,,
210542 Itinga do Maranhão;-;22975;24807,,
210545 Jatobá;-;5030;8521,,
210547 Jenipapo dos Vieiras;-;9982;15412,,
210550 João Lisboa;53126;24478;20337,,
210560 Joselândia;15213;14510;15408,,
210565 Junco do Maranhão;-;5465;4014,,
210570 Lago da Pedra;46820;40121;45946,,
210580 Lago do Junco;19189;9775;10718,,
210594 Lago dos Rodrigues;-;8403;7779,,
210590 Lago Verde;13213;12980;15405,,
210592 Lagoa do Mato;-;9363;10923,,
210596 Lagoa Grande do Maranhão;-;8394;10483,,
210598 Lajeado Novo;-;5295;6903,,
210600 Lima Campos;12398;10679;11405,,
210610 Loreto;9433;9945;11371,,
210620 Luís Domingues;9110;5674;6474,,
210630 Magalhães de Almeida;11469;12886;17471,,
210632 Maracaçumé;-;14687;19080,,
210635 Marajá do Sena;-;7035;8049,,
210637 Maranhãozinho;-;8214;14039,,
210640 Mata Roma;10574;11765;15121,,
210650 Matinha;18307;19117;21831,,
210660 Matões;25235;26247;30947,,
210663 Matões do Norte;-;7417;13724,,
210667 Milagres do Maranhão;-;5131;8101,,
210670 Mirador;17117;19839;20422,,
210675 Miranda do Norte;14232;16102;24388,,
210680 Mirinzal;16813;12944;14141,,
210690 Monção;25272;25841;31700,,
210700 Montes Altos;19464;10200;9384,,
210710 Morros;18678;14557;17748,,
210720 Nina Rodrigues;7498;8275;12460,,
210725 Nova Colinas;-;3558;4871,,
210730 Nova Iorque;4934;4529;4579,,
210735 Nova Olinda do Maranhão;-;15515;19085,,
210740 Olho d'Água das Cunhãs;16190;14333;18565,,
210745 Olinda Nova do Maranhão;-;10066;13158,,
210750 Paço do Lumiar;52607;75765;104858,,
210760 Palmeirândia;15528;17020;18757,,
210770 Paraibano;15753;17776;20055,,
210780 Parnarama;31254;32401;34531,,
210790 Passagem Franca;22580;14771;17483,,
210800 Pastos Bons;14017;15401;18017,,
210805 Paulino Neves;-;11481;14485,,
210810 Paulo Ramos;26901;19166;19986,,
210820 Pedreiras;50365;39712;39255,,
210825 Pedro do Rosário;-;17733;22668,,
210830 Penalva;29217;30158;34185,,
210840 Peri Mirim;13343;12938;13780,,
210845 Peritoró;-;17135;21183,,
210850 Pindaré-Mirim;31519;27464;31059,,
210860 Pinheiro;82165;67803;77890,,
210870 Pio XII;27210;28345;21996,,
210880 Pirapemas;16439;15070;17284,,
210890 Poção de Pedras;24458;22286;19690,,
210900 Porto Franco;32355;16788;21410,,
210905 Porto Rico do Maranhão;-;6352;6026,,
210910 Presidente Dutra;42647;39413;44591,,
210920 Presidente Juscelino;6404;10631;11514,,
210923 Presidente Médici;-;5086;6360,,
210927 Presidente Sarney;-;13651;17119,,
210930 Presidente Vargas;7816;10172;10708,,
210940 Primeira Cruz;18382;10932;13933,,
210945 Raposa;-;16736;26301,,
210950 Riachão;28030;20860;20169,,
210955 Ribamar Fiquene;-;6480;7287,,
210960 Rosário;40677;33532;39477,,
210970 Sambaíba;5723;5234;5484,,
210975 Santa Filomena do Maranhão;-;4664;7051,,
210980 Santa Helena;26347;30777;39013,,
210990 Santa Inês;64514;68079;76973,,
211000 Santa Luzia;114695;69016;73831,,
211003 Santa Luzia do Paruá;45717;19866;22576,,
211010 Santa Quitéria do Maranhão;20898;27852;29151,,
211020 Santa Rita;21134;24697;32275,,
211023 Santana do Maranhão;-;10863;11604,,
211027 Santo Amaro do Maranhão;-;9576;13788,,
211030 Santo Antônio dos Lopes;17564;14192;14252,,
211040 São Benedito do Rio Preto;15020;16294;17773,,
211050 São Bento;27902;31721;40616,,
211060 São Bernardo;24627;22539;26360,,
211065 São Domingos do Azeitão;-;6264;6973,,
211070 São Domingos do Maranhão;34339;32888;33539,,
211080 São Félix de Balsas;6227;5136;4696,,
